iter	Passed	Remaining
0	174	174602
1	192	95939
2	207	68889
3	219	54683
4	231	46022
5	240	39814
6	252	35832
7	263	32730
8	272	30046
9	284	28144
10	294	26500
11	303	25004
12	313	23822
13	322	22737
14	333	21905
15	344	21169
16	353	20412
17	363	19854
18	375	19362
19	383	18786
20	395	18415
21	404	17963
22	415	17628
23	425	17304
24	434	16941
25	445	16687
26	457	16493
27	466	16206
28	479	16065
29	492	15914
30	503	15732
31	515	15597
32	531	15572
33	544	15465
34	558	15394
35	571	15300
36	581	15126
37	592	14994
38	605	14909
39	615	14761
40	625	14624
41	641	14642
42	656	14601
43	669	14536
44	684	14520
45	696	14446
46	707	14335
47	720	14284
48	734	14262
49	750	14256
50	767	14287
51	783	14279
52	799	14288
53	813	14258
54	832	14299
55	848	14297
56	864	14303
57	888	14426
58	905	14439
59	918	14397
60	930	14319
61	942	14257
62	952	14160
63	965	14113
64	979	14096
65	992	14051
66	1005	14001
67	1018	13965
68	1030	13898
69	1043	13859
70	1054	13792
71	1066	13742
72	1085	13778
73	1097	13727
74	1111	13702
75	1124	13668
76	1137	13637
77	1154	13648
78	1173	13686
79	1189	13681
80	1205	13672
81	1223	13692
82	1243	13734
83	1260	13745
84	1291	13903
85	1320	14037
86	1339	14061
87	1362	14115
88	1383	14160
89	1420	14363
90	1437	14362
91	1455	14365
92	1480	14436
93	1503	14493
94	1521	14497
95	1541	14512
96	1554	14470
97	1570	14457
98	1586	14442
99	1600	14400
100	1612	14356
101	1623	14291
102	1634	14234
103	1648	14198
104	1662	14171
105	1677	14148
106	1689	14097
107	1701	14052
108	1715	14023
109	1729	13990
110	1743	13967
111	1760	13960
112	1775	13936
113	1786	13882
114	1801	13866
115	1814	13827
116	1827	13789
117	1838	13745
118	1848	13682
119	1860	13643
120	1873	13608
121	1888	13592
122	1899	13540
123	1910	13496
124	1923	13461
125	1931	13400
126	1943	13360
127	1955	13320
128	1964	13261
129	1975	13219
130	1987	13186
131	1997	13136
132	2009	13102
133	2024	13083
134	2038	13059
135	2049	13021
136	2058	12964
137	2069	12927
138	2078	12874
139	2088	12832
140	2099	12792
141	2110	12750
142	2123	12727
143	2136	12702
144	2147	12662
145	2155	12609
146	2168	12582
147	2179	12545
148	2188	12497
149	2199	12463
150	2207	12414
151	2219	12381
152	2233	12361
153	2242	12319
154	2252	12279
155	2263	12247
156	2272	12203
157	2283	12167
158	2292	12127
159	2301	12082
160	2314	12059
161	2326	12034
162	2335	11990
163	2345	11956
164	2354	11914
165	2365	11882
166	2376	11855
167	2385	11813
168	2396	11781
169	2407	11754
170	2416	11713
171	2427	11687
172	2440	11665
173	2448	11624
174	2460	11600
175	2470	11566
176	2480	11532
177	2491	11504
178	2500	11467
179	2511	11443
180	2523	11419
181	2532	11380
182	2541	11348
183	2550	11311
184	2561	11282
185	2573	11262
186	2585	11239
187	2593	11203
188	2606	11183
189	2619	11167
190	2629	11136
191	2640	11113
192	2653	11094
193	2661	11057
194	2674	11039
195	2685	11016
196	2694	10982
197	2706	10961
198	2718	10941
199	2731	10925
200	2741	10897
201	2753	10879
202	2766	10860
203	2775	10831
204	2787	10810
205	2800	10792
206	2808	10759
207	2820	10740
208	2832	10718
209	2841	10688
210	2853	10669
211	2865	10650
212	2874	10620
213	2886	10600
214	2898	10582
215	2907	10551
216	2918	10531
217	2930	10512
218	2939	10481
219	2951	10463
220	2964	10450
221	2973	10420
222	2982	10393
223	2995	10376
224	3004	10347
225	3015	10327
226	3026	10305
227	3036	10283
228	3049	10267
229	3063	10254
230	3073	10231
231	3082	10202
232	3095	10190
233	3108	10176
234	3117	10148
235	3127	10125
236	3138	10105
237	3148	10080
238	3161	10065
239	3172	10046
240	3181	10019
241	3194	10004
242	3206	9989
243	3216	9965
244	3226	9942
245	3239	9930
246	3248	9901
247	3260	9887
248	3272	9868
249	3280	9841
250	3292	9824
251	3305	9813
252	3315	9789
253	3325	9767
254	3337	9751
255	3346	9725
256	3358	9709
257	3369	9691
258	3378	9665
259	3388	9644
260	3398	9622
261	3406	9596
262	3416	9575
263	3425	9550
264	3435	9529
265	3446	9510
266	3455	9486
267	3467	9470
268	3475	9445
269	3486	9426
270	3497	9408
271	3506	9384
272	3516	9364
273	3527	9346
274	3535	9322
275	3546	9303
276	3555	9279
277	3565	9260
278	3576	9241
279	3585	9219
280	3595	9199
281	3605	9179
282	3616	9161
283	3626	9144
284	3635	9120
285	3645	9101
286	3654	9078
287	3664	9060
288	3674	9040
289	3683	9017
290	3692	8997
291	3701	8974
292	3712	8957
293	3721	8936
294	3730	8916
295	3742	8900
296	3751	8879
297	3761	8861
298	3773	8845
299	3781	8823
300	3792	8808
301	3801	8785
302	3810	8766
303	3822	8750
304	3831	8729
305	3840	8710
306	3849	8689
307	3859	8670
308	3869	8652
309	3877	8631
310	3888	8615
311	3898	8596
312	3907	8577
313	3919	8563
314	3928	8543
315	3940	8529
316	3950	8511
317	3959	8491
318	3969	8473
319	3977	8453
320	3988	8437
321	3998	8419
322	4007	8400
323	4019	8385
324	4027	8365
325	4038	8350
326	4050	8335
327	4060	8318
328	4071	8303
329	4083	8290
330	4091	8269
331	4102	8254
332	4112	8238
333	4121	8218
334	4132	8203
335	4141	8183
336	4151	8168
337	4161	8151
338	4170	8131
339	4181	8116
340	4190	8098
341	4201	8082
342	4211	8067
343	4219	8047
344	4230	8032
345	4239	8013
346	4249	7997
347	4260	7981
348	4268	7961
349	4280	7948
350	4289	7931
351	4298	7913
352	4308	7897
353	4316	7877
354	4327	7863
355	4336	7844
356	4347	7829
357	4359	7817
358	4368	7799
359	4380	7786
360	4392	7775
361	4401	7757
362	4412	7743
363	4423	7729
364	4432	7710
365	4443	7696
366	4452	7679
367	4461	7662
368	4472	7648
369	4481	7630
370	4492	7615
371	4504	7604
372	4519	7596
373	4528	7580
374	4540	7566
375	4549	7549
376	4559	7534
377	4570	7520
378	4579	7503
379	4590	7489
380	4602	7477
381	4610	7459
382	4622	7446
383	4632	7430
384	4641	7414
385	4652	7400
386	4661	7383
387	4672	7369
388	4684	7357
389	4694	7343
390	4705	7328
391	4716	7315
392	4725	7298
393	4735	7283
394	4744	7267
395	4753	7250
396	4764	7237
397	4773	7219
398	4783	7205
399	4794	7192
400	4803	7175
401	4815	7163
402	4824	7147
403	4833	7130
404	4843	7115
405	4852	7099
406	4863	7086
407	4872	7069
408	4881	7054
409	4893	7042
410	4902	7026
411	4914	7013
412	4923	6998
413	4932	6981
414	4943	6969
415	4952	6952
416	4963	6939
417	4974	6926
418	4984	6912
419	4995	6899
420	5009	6888
421	5017	6872
422	5028	6859
423	5037	6843
424	5047	6829
425	5059	6817
426	5068	6801
427	5078	6787
428	5090	6775
429	5099	6759
430	5110	6746
431	5121	6733
432	5130	6718
433	5142	6706
434	5152	6692
435	5161	6676
436	5172	6664
437	5181	6648
438	5192	6635
439	5203	6622
440	5212	6606
441	5224	6595
442	5235	6582
443	5244	6566
444	5255	6555
445	5264	6539
446	5275	6526
447	5286	6513
448	5295	6498
449	5306	6485
450	5317	6473
451	5327	6458
452	5338	6446
453	5348	6432
454	5357	6417
455	5370	6406
456	5381	6394
457	5390	6378
458	5401	6366
459	5412	6353
460	5422	6339
461	5434	6327
462	5442	6312
463	5452	6298
464	5464	6287
465	5473	6272
466	5484	6259
467	5495	6247
468	5504	6232
469	5516	6220
470	5528	6209
471	5538	6195
472	5549	6183
473	5561	6171
474	5570	6157
475	5581	6144
476	5592	6131
477	5600	6116
478	5612	6104
479	5620	6089
480	5631	6076
481	5641	6063
482	5650	6048
483	5661	6036
484	5672	6022
485	5681	6008
486	5692	5996
487	5701	5982
488	5712	5969
489	5724	5957
490	5733	5943
491	5744	5930
492	5756	5919
493	5765	5905
494	5775	5892
495	5786	5879
496	5794	5864
497	5806	5852
498	5818	5841
499	5826	5826
500	5837	5814
501	5846	5799
502	5857	5787
503	5868	5775
504	5877	5761
505	5888	5748
506	5899	5736
507	5907	5721
508	5919	5710
509	5932	5699
510	5942	5686
511	5953	5674
512	5965	5663
513	5975	5649
514	5986	5637
515	5997	5625
516	6006	5611
517	6019	5600
518	6032	5590
519	6040	5575
520	6052	5564
521	6063	5552
522	6072	5538
523	6084	5526
524	6095	5515
525	6104	5501
526	6117	5490
527	6128	5478
528	6137	5464
529	6149	5453
530	6160	5441
531	6169	5427
532	6180	5414
533	6189	5401
534	6199	5387
535	6211	5376
536	6219	5362
537	6231	5350
538	6243	5340
539	6252	5326
540	6263	5314
541	6274	5302
542	6283	5288
543	6295	5277
544	6307	5266
545	6316	5251
546	6327	5240
547	6341	5230
548	6350	5216
549	6360	5204
550	6371	5192
551	6382	5179
552	6393	5167
553	6405	5156
554	6414	5142
555	6425	5131
556	6437	5119
557	6446	5106
558	6457	5094
559	6468	5082
560	6476	5068
561	6488	5057
562	6501	5046
563	6510	5033
564	6521	5021
565	6533	5010
566	6542	4996
567	6554	4985
568	6565	4973
569	6574	4959
570	6587	4949
571	6601	4939
572	6610	4926
573	6621	4913
574	6633	4903
575	6641	4889
576	6653	4877
577	6664	4865
578	6675	4854
579	6686	4842
580	6699	4831
581	6709	4819
582	6719	4806
583	6731	4795
584	6741	4782
585	6751	4769
586	6761	4757
587	6770	4743
588	6782	4732
589	6794	4721
590	6803	4708
591	6815	4696
592	6827	4686
593	6836	4672
594	6848	4661
595	6860	4650
596	6868	4636
597	6880	4625
598	6893	4614
599	6903	4602
600	6912	4589
601	6925	4578
602	6933	4565
603	6946	4554
604	6957	4542
605	6966	4529
606	6978	4518
607	6991	4507
608	7002	4495
609	7011	4482
610	7023	4471
611	7033	4458
612	7043	4446
613	7055	4435
614	7064	4422
615	7075	4410
616	7087	4399
617	7096	4386
618	7105	4373
619	7119	4363
620	7128	4350
621	7139	4339
622	7152	4328
623	7163	4316
624	7173	4304
625	7186	4293
626	7199	4282
627	7208	4269
628	7218	4257
629	7230	4246
630	7238	4233
631	7248	4220
632	7257	4207
633	7268	4195
634	7278	4183
635	7286	4170
636	7297	4158
637	7306	4145
638	7316	4133
639	7326	4121
640	7334	4108
641	7345	4096
642	7354	4083
